ticker,end_period_ts,end_period_utc,interval_min,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,volume,open_interest
KXHIGHLAX-25JUL02-B72.5,1751472060,2025-07-02T16:01:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0300,0.0300,0.1400,0.1400,0.1400,0.1400,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472180,2025-07-02T16:03:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0300,0.0300,0.1400,0.1500,0.1400,0.1500,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472240,2025-07-02T16:04:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0300,0.0300,0.1500,0.1500,0.1500,0.1500,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472360,2025-07-02T16:06:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0100,0.0100,0.1500,0.1500,0.0700,0.0700,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472420,2025-07-02T16:07:00+00:00,1,,,,,,0.0500,0.0100,0.0100,0.0100,0.0100,0.0700,0.0800,0.0700,0.0700,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472480,2025-07-02T16:08:00+00:00,1,,,,,,0.0500,0.0100,0.0100,0.0100,0.0100,0.0700,0.0700,0.0700,0.0700,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472540,2025-07-02T16:09:00+00:00,1,,,,,,0.0500,0.0100,0.0100,0.0100,0.0100,0.0700,0.0700,0.0700,0.0700,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751472600,2025-07-02T16:10:00+00:00,1,0.0700,0.0700,0.0700,0.0700,0.0700,0.0500,0.0100,0.0100,0.0100,0.0100,0.0700,0.0800,0.0600,0.0800,4.00,1802.00
KXHIGHLAX-25JUL02-B72.5,1751472660,2025-07-02T16:11:00+00:00,1,,,,,,0.0700,0.0100,0.0300,0.0100,0.0300,0.0800,0.0800,0.0700,0.0700,0.00,1802.00
KXHIGHLAX-25JUL02-B72.5,1751472720,2025-07-02T16:12:00+00:00,1,,,,,,0.0700,0.0300,0.0300,0.0300,0.0300,0.0700,0.0700,0.0600,0.0700,0.00,1802.00
KXHIGHLAX-25JUL02-B72.5,1751472840,2025-07-02T16:14:00+00:00,1,,,,,,0.0700,0.0300,0.0300,0.0300,0.0300,0.0700,0.0700,0.0700,0.0700,0.00,1802.00
KXHIGHLAX-25JUL02-B72.5,1751472960,2025-07-02T16:16:00+00:00,1,,,,,,0.0700,0.0300,0.0300,0.0300,0.0300,0.0700,0.0800,0.0600,0.0700,0.00,1802.00
